updated,            high,    low,     open,    close,   volume,average
2024-02-17 00:00:00,52201.89,5201754,52163.28,52027.06,642.97,52109.715
2024-02-16 00:00:00,52598.05,51604.88,51934.57,52163.28,32295.2,52101.465
2024-02-15 00:00:00,52845.45,51357.81,51844.19,51934.57,42990.13,52101.63
2024-02-14 00:00:00,52085.66,49272.58,49733.11,51844.19,43948.58,50679.12
2024-02-13 00:00:00,50392.92,48336.83,49942.97,49733.11,42027.05,49364.875
2024-02-12 00:00:00,50339.2,47718.59,48311.16,49942.97,47112.86,49028.895
2024-02-11 00:00:00,48597.46,47592.04,47768.12,48311.16,19858.95,48094.75
2024-02-10 00:00:00,48166.14,46894.61,47154.23,47768.12,16452.46,47530.375
2024-02-09 00:00:00,48208.27,45257.22,45304.61,47154.23,50590.41,46732.744999999995
2024-02-08 00:00:00,45622.13,44333.87,44339.04,45304.61,39654.68,44978.0
2024-02-07 00:00:00,44402.0,42766.8,43091.51,44339.04,30331.77,43584.4
2024-02-06 00:00:00,43360.05,42526.92,42664.56,43091.51,22482.95,42943.485
2024-02-05 00:00:00,43518.7,41931.59,42570.21,42664.56,24867.17,42725.145
2024-02-04 00:00:00,43093.79,42232.02,42999.52,42570.21,9589.32,42662.905
2024-02-03 00:00:00,43355.76,42874.37,43181.71,42999.52,7556.6,43115.065
2024-02-02 00:00:00,43452.76,42536.21,43073.2,43181.71,26779.09,42994.485
2024-02-01 00:00:00,43267.39,41855.88,42555.08,43073.2,29018.49,42561.634999999995
2024-01-31 00:00:00,43734.38,42276.82,42943.64,42555.08,39491.24,43005.6
2024-01-30 00:00:00,43855.77,42690.4,43302.28,42943.64,34500.06,43273.085
2024-01-29 00:00:00,43308.42,41804.05,42028.92,43302.28,27783.74,42556.235
2024-01-28 00:00:00,42822.8,41632.18,42124.02,42028.92,16615.66,42227.490000000005
2024-01-27 00:00:00,42191.83,41393.22,41816.55,42124.02,10632.46,41792.525
2024-01-26 00:00:00,42227.71,39814.87,39941.74,41816.55,42739.48,41021.29
2024-01-25 00:00:00,40280.91,39523.94,40078.62,39941.74,29183.88,39902.425
2024-01-24 00:00:00,40526.25,39429.31,39876.44,40078.62,37009.85,39977.78
